Date,HDI,GCFC,GDP,LF,Energy,Renewable,LHDI,LGCFC,LGDP,LLF,LEnergy,LRenewable
1990,0.429,83718000000,320980000000,316588179,350.0757339,58.6528583,-0.8462983601,25.15071985,26.49464465,19.57311237,5.858149514,4.071636309
1991,0.433,66404000000,270110000000,323876938,357.36676,57.6047933,-0.837017551,24.91902313,26.32209512,19.59587418,5.878762593,4.053605781
1992,0.44,72310000000,288210000000,331499591,363.0783456,57.2305675,-0.8209805521,25.00422827,26.38695522,19.61913713,5.894618639,4.047088152
1993,0.446,66103000000,279300000000,339466975,364.5145018,56.9833633,-0.807436327,24.91447997,26.35555231,19.64288722,5.898566336,4.042759353
1994,0.453,76448000000,327280000000,347825713,371.2259129,55.5571875,-0.7918631535,25.05987661,26.51408191,19.66721209,5.916810807,4.017412896
1995,0.461,90564000000,360280000000,355762844,385.0918566,54.484117,-0.774357236,25.22932262,26.61014734,19.6897749,5.953481894,3.997909228
1996,0.468,96357000000,392900000000,363481578,389.426518,53.7674097,-0.7592869831,25.29132588,26.69682096,19.71123917,5.96467519,3.984667516
1997,0.474,105420000000,415870000000,371478395,397.3781847,52.4880731,-0.7465479573,25.38121821,26.75363855,19.73300126,5.984888434,3.960585965
1998,0.481,107270000000,421350000000,379715287,399.4988312,52.7122557,-0.7318880089,25.39861486,26.76672968,19.75493229,5.99021084,3.964847984
1999,0.489,126340000000,458820000000,388187385,414.9624918,51.7172937,-0.7153927895,25.56224252,26.85192381,19.77699873,6.028188135,3.945792227
2000,0.495,121880000000,468390000000,396836575,417.2875886,51.5793476,-0.7031975164,25.52630279,26.87256712,19.7990351,6.033775645,3.943121352
2001,0.499,145300000000,485440000000,406722314,416.0144443,51.7872192,-0.6951491832,25.70206641,26.90832153,19.82364124,6.030719982,3.947143385
2002,0.506,145890000000,514940000000,416990123,421.2704901,50.5694427,-0.6812186097,25.70611875,26.96731623,19.84857309,6.043275122,3.923347495
2003,0.518,172190000000,607700000000,427513791,424.2943456,50.8427991,-0.6577800367,25.87186436,27.13294718,19.87349711,6.050427426,3.928738502
2004,0.527,217770000000,709150000000,438149349,439.7030084,49.7240246,-0.6405547304,26.1067053,27.28733291,19.89807039,6.086099518,3.906488209
2005,0.536,268720000000,820380000000,449085798,449.7658559,48.5753088,-0.6236211179,26.31693578,27.43303348,19.92272451,6.108727127,3.883115352
2006,0.546,315790000000,940260000000,451850215,466.1382611,47.4437217,-0.6051363032,26.47834327,27.56942227,19.9288613,6.144482288,3.859544202
2007,0.555,435750000000,1216700000000,454681303,485.0996282,45.8678035,-0.5887871652,26.80033452,27.82716339,19.9351073,6.184354289,3.825763422
2008,0.563,416230000000,1198900000000,457434576,501.5596349,43.632883,-0.5744756508,26.75450383,27.81242559,19.94114443,6.217722513,3.775811063
2009,0.569,455590000000,1341900000000,460259998,544.6265982,40.7708276,-0.5638748449,26.84485912,27.92510764,19.9473021,6.300100419,3.707966816
2010,0.579,556810000000,1675600000000,462951189,561.6534027,39.4815087,-0.5464528014,27.04548991,28.14719243,19.95313218,6.330884938,3.675832428
2011,0.588,625550000000,1823100000000,463753798,577.9940611,38.9317402,-0.5310283311,27.1618971,28.23155946,19.95486436,6.359563594,3.661809861
2012,0.597,611110000000,1827600000000,464761442,599.1544142,38.3908902,-0.5158381656,27.13854281,28.23402475,19.9570348,6.395519352,3.647820197
2013,0.604,581080000000,1856700000000,469136973,605.7921412,37.8498412,-0.504181081,27.08815428,28.24982183,19.96640534,6.406536926,3.633626784
2014,0.616,613370000000,2039100000000,473314433,636.5701556,36.6518379,-0.4845083154,27.14223418,28.34352965,19.97527049,6.456094633,3.601463574